epoch,train_loss,valid_loss,dice,time
0,0.737229,0.771604,0.363651,00:10
1,0.680170,0.529058,0.812091,00:03
2,0.766911,0.619803,0.615364,00:02
3,0.701971,0.523570,0.799238,00:02
4,0.649700,0.596152,0.624633,00:02
5,0.605367,0.357973,0.864184,00:03
6,0.579607,0.750688,0.606297,00:02
7,0.540284,0.301963,0.904617,00:03
8,0.527260,0.289617,0.915545,00:03
9,0.497592,0.286803,0.914737,00:02
epoch,train_loss,valid_loss,dice,time
0,0.409283,0.281250,0.916748,00:03
1,0.417511,0.277183,0.917294,00:03
2,0.363408,0.309984,0.891048,00:02
3,0.333315,0.371451,0.853338,00:02
4,0.358400,0.297846,0.895631,00:02
5,0.365499,0.281737,0.914825,00:02
6,0.374420,0.254836,0.928432,00:03
7,0.350787,0.205816,0.938405,00:04
8,0.361460,0.313721,0.887040,00:02
9,0.365681,0.293362,0.898420,00:02
epoch,train_loss,valid_loss,dice,time
0,0.362898,0.289409,0.900371,00:02
1,0.367187,0.275935,0.907676,00:02
2,0.367242,0.231975,0.933241,00:02
3,0.360341,0.223218,0.941370,00:03
4,0.361466,0.238632,0.935235,00:02
5,0.359347,0.255548,0.928630,00:02
6,0.360962,0.208037,0.944005,00:03
7,0.360786,0.302827,0.913759,00:02
8,0.359175,0.241255,0.942511,00:02
9,0.355424,0.237765,0.936451,00:02
